TIME,CH1
-9.502e-06,0.1528
-9.500e-06,0.1616
-9.498e-06,0.1592
-9.496e-06,0.1512
-9.494e-06,0.1448
-9.492e-06,0.1504
-9.490e-06,0.1608
-9.488e-06,0.1616
-9.486e-06,0.1536
-9.484e-06,0.144
-9.482e-06,0.1496
-9.480e-06,0.1608
-9.478e-06,0.1632
-9.476e-06,0.1552
-9.474e-06,0.1464
-9.472e-06,0.1416
-9.470e-06,0.1536
-9.468e-06,0.1664
-9.466e-06,0.1632
-9.464e-06,0.148
-9.462e-06,0.1424
-9.460e-06,0.148
-9.458e-06,0.1616
-9.456e-06,0.1648
-9.454e-06,0.1536
-9.452e-06,0.144
-9.450e-06,0.1448
-9.448e-06,0.1552
-9.446e-06,0.1632
-9.444e-06,0.1584
-9.442e-06,0.148
-9.440e-06,0.1448
-9.438e-06,0.152
-9.436e-06,0.1632
-9.434e-06,0.1616
-9.432e-06,0.1504
-9.430e-06,0.1408
-9.428e-06,0.1472
-9.426e-06,0.1624
-9.424e-06,0.1656
-9.422e-06,0.1544
-9.420e-06,0.1424
-9.418e-06,0.1424
-9.416e-06,0.156
-9.414e-06,0.1656
-9.412e-06,0.1608
-9.410e-06,0.1456
-9.408e-06,0.1408
-9.406e-06,0.1512
-9.404e-06,0.1616
-9.402e-06,0.1632
-9.400e-06,0.1504
-9.398e-06,0.1424
-9.396e-06,0.148
-9.394e-06,0.1608
-9.392e-06,0.1624
-9.390e-06,0.152
-9.388e-06,0.1432
-9.386e-06,0.1456
-9.384e-06,0.1552
-9.382e-06,0.1624
-9.380e-06,0.1568
-9.378e-06,0.1464
-9.376e-06,0.1432
-9.374e-06,0.152
-9.372e-06,0.1616
-9.370e-06,0.1624
-9.368e-06,0.1512
-9.366e-06,0.144
-9.364e-06,0.148
-9.362e-06,0.1568
-9.360e-06,0.1616
-9.358e-06,0.1584
-9.356e-06,0.1488
-9.354e-06,0.1448
-9.352e-06,0.1512
-9.350e-06,0.1608
-9.348e-06,0.16
-9.346e-06,0.1504
-9.344e-06,0.1448
-9.342e-06,0.148
-9.340e-06,0.1584
-9.338e-06,0.1616
-9.336e-06,0.1536
-9.334e-06,0.1464
-9.332e-06,0.1448
-9.330e-06,0.1552
-9.328e-06,0.1616
-9.326e-06,0.1576
-9.324e-06,0.148
-9.322e-06,0.1464
-9.320e-06,0.1528
-9.318e-06,0.16
-9.316e-06,0.1584
-9.314e-06,0.1504
-9.312e-06,0.1456
-9.310e-06,0.1512
-9.308e-06,0.156
-9.306e-06,0.1568
-9.304e-06,0.1528
-9.302e-06,0.1496
-9.300e-06,0.1512
-9.298e-06,0.1552
-9.296e-06,0.1568
-9.294e-06,0.152
-9.292e-06,0.1496
-9.290e-06,0.1488
-9.288e-06,0.1528
-9.286e-06,0.156
-9.284e-06,0.1528
-9.282e-06,0.148
-9.280e-06,0.1496
-9.278e-06,0.1544
-9.276e-06,0.1576
-9.274e-06,0.1528
-9.272e-06,0.148
-9.270e-06,0.1488
-9.268e-06,0.152
-9.266e-06,0.156
-9.264e-06,0.1552
-9.262e-06,0.1496
-9.260e-06,0.148
-9.258e-06,0.1512
-9.256e-06,0.1568
-9.254e-06,0.1576
-9.252e-06,0.1512
-9.250e-06,0.1456
-9.248e-06,0.1488
-9.246e-06,0.156
-9.244e-06,0.1576
-9.242e-06,0.1544
-9.240e-06,0.148
-9.238e-06,0.148
-9.236e-06,0.1528
-9.234e-06,0.1576
-9.232e-06,0.156
-9.230e-06,0.1504
-9.228e-06,0.1456
-9.226e-06,0.1496
-9.224e-06,0.156
-9.222e-06,0.1576
-9.220e-06,0.1512
-9.218e-06,0.1448
-9.216e-06,0.1472
-9.214e-06,0.156
-9.212e-06,0.16
-9.210e-06,0.156
-9.208e-06,0.1464
-9.206e-06,0.1432
-9.204e-06,0.1504
-9.202e-06,0.1608
-9.200e-06,0.1608
-9.198e-06,0.1504
-9.196e-06,0.1416
-9.194e-06,0.1448
-9.192e-06,0.156
-9.190e-06,0.1632
-9.188e-06,0.1544
-9.186e-06,0.1432
-9.184e-06,0.144
-9.182e-06,0.1552
-9.180e-06,0.1632
-9.178e-06,0.16
-9.176e-06,0.1488
-9.174e-06,0.14
-9.172e-06,0.1488
-9.170e-06,0.1632
-9.168e-06,0.1632
-9.166e-06,0.1504
-9.164e-06,0.1408
-9.162e-06,0.1432
-9.160e-06,0.1576
-9.158e-06,0.1648
-9.156e-06,0.1568
-9.154e-06,0.1416
-9.152e-06,0.1408
-9.150e-06,0.152
-9.148e-06,0.1648
-9.146e-06,0.1592
-9.144e-06,0.1472
-9.142e-06,0.1408
-9.140e-06,0.1488
-9.138e-06,0.16
-9.136e-06,0.1624
-9.134e-06,0.1504
-9.132e-06,0.1416
-9.130e-06,0.144
-9.128e-06,0.1544
-9.126e-06,0.1608
-9.124e-06,0.1552
-9.122e-06,0.1448
-9.120e-06,0.1424
-9.118e-06,0.152
-9.116e-06,0.1592
-9.114e-06,0.1576
-9.112e-06,0.1488
-9.110e-06,0.144
-9.108e-06,0.1496
-9.106e-06,0.156
-9.104e-06,0.1584
-9.102e-06,0.1528
-9.100e-06,0.1464
-9.098e-06,0.1464
-9.096e-06,0.1536
-9.094e-06,0.1584
-9.092e-06,0.1552
-9.090e-06,0.1472
-9.088e-06,0.1448
-9.086e-06,0.1504
-9.084e-06,0.1584
-9.082e-06,0.1568
-9.080e-06,0.1488
-9.078e-06,0.144
-9.076e-06,0.1496
-9.074e-06,0.1576
-9.072e-06,0.1592
-9.070e-06,0.1504
-9.068e-06,0.144
-9.066e-06,0.148
-9.064e-06,0.1568
-9.062e-06,0.16
-9.060e-06,0.1512
-9.058e-06,0.1456
-9.056e-06,0.1472
-9.054e-06,0.1536
-9.052e-06,0.1592
-9.050e-06,0.1544
-9.048e-06,0.1456
-9.046e-06,0.1472
-9.044e-06,0.1528
-9.042e-06,0.1576
-9.040e-06,0.1552
-9.038e-06,0.1464
-9.036e-06,0.1456
-9.034e-06,0.1512
-9.032e-06,0.1592
-9.030e-06,0.1584
-9.028e-06,0.1504
-9.026e-06,0.1464
-9.024e-06,0.148
-9.022e-06,0.1576
-9.020e-06,0.1576
-9.018e-06,0.152
-9.016e-06,0.1472
-9.014e-06,0.1472
-9.012e-06,0.1528
-9.010e-06,0.1592
-9.008e-06,0.1544
-9.006e-06,0.1496
-9.004e-06,0.1448
-9.002e-06,0.1504
-9.000e-06,0.1584
-8.998e-06,0.1584
-8.996e-06,0.1512
-8.994e-06,0.1432
-8.992e-06,0.1472
-8.990e-06,0.1576
-8.988e-06,0.1616
-8.986e-06,0.1552
-8.984e-06,0.1456
-8.982e-06,0.1456
-8.980e-06,0.1528
-8.978e-06,0.16
-8.976e-06,0.1568
-8.974e-06,0.1464
-8.972e-06,0.1432
-8.970e-06,0.1488
-8.968e-06,0.1584
-8.966e-06,0.1592
-8.964e-06,0.1504
-8.962e-06,0.1424
-8.960e-06,0.1472
-8.958e-06,0.156
-8.956e-06,0.1592
-8.954e-06,0.1536
-8.952e-06,0.1456
-8.950e-06,0.1456
-8.948e-06,0.1536
-8.946e-06,0.1608
-8.944e-06,0.1576
-8.942e-06,0.1472
-8.940e-06,0.1432
-8.938e-06,0.1512
-8.936e-06,0.1608
-8.934e-06,0.1608
-8.932e-06,0.1504
-8.930e-06,0.1424
-8.928e-06,0.148
-8.926e-06,0.1584
-8.924e-06,0.1624
-8.922e-06,0.1544
-8.920e-06,0.1448
-8.918e-06,0.1464
-8.916e-06,0.1544
-8.914e-06,0.1624
-8.912e-06,0.1568
-8.910e-06,0.1464
-8.908e-06,0.1432
-8.906e-06,0.1528
-8.904e-06,0.1608
-8.902e-06,0.1592
-8.900e-06,0.1488
-8.898e-06,0.1448
-8.896e-06,0.1504
-8.894e-06,0.1584
-8.892e-06,0.1608
-8.890e-06,0.1528
-8.888e-06,0.1448
-8.886e-06,0.148
-8.884e-06,0.1552
-8.882e-06,0.1608
-8.880e-06,0.156
-8.878e-06,0.1472
-8.876e-06,0.1456
-8.874e-06,0.1528
-8.872e-06,0.1608
-8.870e-06,0.1576
-8.868e-06,0.1512
-8.866e-06,0.1448
-8.864e-06,0.1512
-8.862e-06,0.1592
-8.860e-06,0.16
-8.858e-06,0.1552
-8.856e-06,0.1448
-8.854e-06,0.144
-8.852e-06,0.1544
-8.850e-06,0.1624
-8.848e-06,0.156
-8.846e-06,0.1464
-8.844e-06,0.1448
-8.842e-06,0.1536
-8.840e-06,0.1608
-8.838e-06,0.1592
