TIME,CH1
-4.7550e-03,0.134
-4.7540e-03,0.14
-4.7530e-03,0.152
-4.7520e-03,0.164
-4.7510e-03,0.178
-4.7500e-03,0.198
-4.7490e-03,0.214
-4.7480e-03,0.232
-4.7470e-03,0.24
-4.7460e-03,0.248
-4.7450e-03,0.25
-4.7440e-03,0.254
-4.7430e-03,0.25
-4.7420e-03,0.254
-4.7410e-03,0.25
-4.7400e-03,0.252
-4.7390e-03,0.25
-4.7380e-03,0.248
-4.7370e-03,0.25
-4.7360e-03,0.248
-4.7350e-03,0.248
-4.7340e-03,0.248
-4.7330e-03,0.248
-4.7320e-03,0.244
-4.7310e-03,0.24
-4.7300e-03,0.24
-4.7290e-03,0.242
-4.7280e-03,0.238
-4.7270e-03,0.238
-4.7260e-03,0.24
-4.7250e-03,0.24
-4.7240e-03,0.24
-4.7230e-03,0.228
-4.7220e-03,0.234
-4.7210e-03,0.23
-4.7200e-03,0.234
-4.7190e-03,0.234
-4.7180e-03,0.226
-4.7170e-03,0.232
-4.7160e-03,0.23
-4.7150e-03,0.232
-4.7140e-03,0.23
-4.7130e-03,0.232
-4.7120e-03,0.23
-4.7110e-03,0.228
-4.7100e-03,0.228
-4.7090e-03,0.224
-4.7080e-03,0.228
-4.7070e-03,0.224
-4.7060e-03,0.226
-4.7050e-03,0.226
-4.7040e-03,0.224
-4.7030e-03,0.222
-4.7020e-03,0.218
-4.7010e-03,0.214
-4.7000e-03,0.212
-4.6990e-03,0.214
-4.6980e-03,0.214
-4.6970e-03,0.218
-4.6960e-03,0.218
-4.6950e-03,0.216
-4.6940e-03,0.214
-4.6930e-03,0.218
-4.6920e-03,0.212
-4.6910e-03,0.212
-4.6900e-03,0.21
-4.6890e-03,0.21
-4.6880e-03,0.214
-4.6870e-03,0.214
-4.6860e-03,0.218
-4.6850e-03,0.214
-4.6840e-03,0.214
-4.6830e-03,0.214
-4.6820e-03,0.212
-4.6810e-03,0.212
-4.6800e-03,0.206
-4.6790e-03,0.212
-4.6780e-03,0.21
-4.6770e-03,0.214
-4.6760e-03,0.216
-4.6750e-03,0.214
-4.6740e-03,0.21
-4.6730e-03,0.208
-4.6720e-03,0.2
-4.6710e-03,0.2
-4.6700e-03,0.196
-4.6690e-03,0.202
-4.6680e-03,0.204
-4.6670e-03,0.21
-4.6660e-03,0.212
-4.6650e-03,0.212
-4.6640e-03,0.212
-4.6630e-03,0.21
-4.6620e-03,0.212
-4.6610e-03,0.218
-4.6600e-03,0.21
-4.6590e-03,0.216
-4.6580e-03,0.22
-4.6570e-03,0.22
-4.6560e-03,0.218
-4.6550e-03,0.216
-4.6540e-03,0.214
-4.6530e-03,0.212
-4.6520e-03,0.208
-4.6510e-03,0.21
-4.6500e-03,0.208
-4.6490e-03,0.21
-4.6480e-03,0.208
-4.6470e-03,0.214
-4.6460e-03,0.214
-4.6450e-03,0.212
-4.6440e-03,0.206
-4.6430e-03,0.21
-4.6420e-03,0.2
-4.6410e-03,0.204
-4.6400e-03,0.202
-4.6390e-03,0.2
-4.6380e-03,0.206
-4.6370e-03,0.208
-4.6360e-03,0.206
-4.6350e-03,0.206
-4.6340e-03,0.204
-4.6330e-03,0.204
-4.6320e-03,0.198
-4.6310e-03,0.198
-4.6300e-03,0.196
-4.6290e-03,0.2
-4.6280e-03,0.2
-4.6270e-03,0.202
-4.6260e-03,0.204
-4.6250e-03,0.204
-4.6240e-03,0.204
-4.6230e-03,0.198
-4.6220e-03,0.194
-4.6210e-03,0.19
-4.6200e-03,0.194
-4.6190e-03,0.19
-4.6180e-03,0.19
-4.6170e-03,0.196
-4.6160e-03,0.192
-4.6150e-03,0.188
-4.6140e-03,0.192
-4.6130e-03,0.188
-4.6120e-03,0.184
-4.6110e-03,0.186
-4.6100e-03,0.186
-4.6090e-03,0.186
-4.6080e-03,0.184
-4.6070e-03,0.184
-4.6060e-03,0.186
-4.6050e-03,0.186
-4.6040e-03,0.184
-4.6030e-03,0.176
-4.6020e-03,0.178
-4.6010e-03,0.18
-4.6000e-03,0.182
-4.5990e-03,0.18
-4.5980e-03,0.182
-4.5970e-03,0.18
-4.5960e-03,0.174
-4.5950e-03,0.172
-4.5940e-03,0.166
-4.5930e-03,0.168
-4.5920e-03,0.17
-4.5910e-03,0.17
-4.5900e-03,0.172
-4.5890e-03,0.17
-4.5880e-03,0.168
-4.5870e-03,0.164
-4.5860e-03,0.16
-4.5850e-03,0.162
-4.5840e-03,0.158
-4.5830e-03,0.16
-4.5820e-03,0.166
-4.5810e-03,0.158
-4.5800e-03,0.162
-4.5790e-03,0.16
-4.5780e-03,0.154
-4.5770e-03,0.156
-4.5760e-03,0.154
-4.5750e-03,0.154
-4.5740e-03,0.15
-4.5730e-03,0.152
-4.5720e-03,0.158
-4.5710e-03,0.154
-4.5700e-03,0.154
-4.5690e-03,0.156
-4.5680e-03,0.15
-4.5670e-03,0.148
-4.5660e-03,0.146
-4.5650e-03,0.148
-4.5640e-03,0.152
-4.5630e-03,0.148
-4.5620e-03,0.152
-4.5610e-03,0.154
-4.5600e-03,0.152
-4.5590e-03,0.15
-4.5580e-03,0.148
-4.5570e-03,0.14
-4.5560e-03,0.142
-4.5550e-03,0.146
-4.5540e-03,0.144
-4.5530e-03,0.148
-4.5520e-03,0.152
-4.5510e-03,0.146
-4.5500e-03,0.148
-4.5490e-03,0.152
-4.5480e-03,0.14
-4.5470e-03,0.15
-4.5460e-03,0.15
-4.5450e-03,0.156
-4.5440e-03,0.16
-4.5430e-03,0.158
-4.5420e-03,0.162
-4.5410e-03,0.13
-4.5400e-03,0.16
-4.5390e-03,0.152
-4.5380e-03,0.152
-4.5370e-03,0.148
-4.5360e-03,0.152
-4.5350e-03,0.152
-4.5340e-03,0.15
-4.5330e-03,0.156
-4.5320e-03,0.152
-4.5310e-03,0.15
-4.5300e-03,0.144
-4.5290e-03,0.148
-4.5280e-03,0.148
-4.5270e-03,0.148
-4.5260e-03,0.146
-4.5250e-03,0.146
-4.5240e-03,0.146
-4.5230e-03,0.146
-4.5220e-03,0.148
-4.5210e-03,0.142
-4.5200e-03,0.142
-4.5190e-03,0.142
-4.5180e-03,0.14
-4.5170e-03,0.138
-4.5160e-03,0.142
-4.5150e-03,0.146
-4.5140e-03,0.146
-4.5130e-03,0.15
-4.5120e-03,0.142
-4.5110e-03,0.146
-4.5100e-03,0.146
-4.5090e-03,0.146
-4.5080e-03,0.146
-4.5070e-03,0.146
-4.5060e-03,0.154
-4.5050e-03,0.148
-4.5040e-03,0.144
-4.5030e-03,0.142
-4.5020e-03,0.136
-4.5010e-03,0.138
-4.5000e-03,0.14
-4.4990e-03,0.142
-4.4980e-03,0.148
-4.4970e-03,0.146
-4.4960e-03,0.144
-4.4950e-03,0.14
-4.4940e-03,0.14
-4.4930e-03,0.134
-4.4920e-03,0.136
-4.4910e-03,0.136
-4.4900e-03,0.14
-4.4890e-03,0.142
-4.4880e-03,0.136
-4.4870e-03,0.138
-4.4860e-03,0.134
-4.4850e-03,0.132
-4.4840e-03,0.128
-4.4830e-03,0.128
-4.4820e-03,0.13
-4.4810e-03,0.132
-4.4800e-03,0.136
-4.4790e-03,0.136
-4.4780e-03,0.14
-4.4770e-03,0.136
-4.4760e-03,0.134
-4.4750e-03,0.134
-4.4740e-03,0.132
-4.4730e-03,0.134
-4.4720e-03,0.134
-4.4710e-03,0.138
-4.4700e-03,0.146
-4.4690e-03,0.142
-4.4680e-03,0.14
-4.4670e-03,0.14
-4.4660e-03,0.136
-4.4650e-03,0.14
-4.4640e-03,0.136
-4.4630e-03,0.136
-4.4620e-03,0.138
-4.4610e-03,0.136
-4.4600e-03,0.136
-4.4590e-03,0.134
-4.4580e-03,0.132
-4.4570e-03,0.13
-4.4560e-03,0.13
-4.4550e-03,0.134
-4.4540e-03,0.134
-4.4530e-03,0.136
-4.4520e-03,0.134
-4.4510e-03,0.134
-4.4500e-03,0.132
-4.4490e-03,0.132
-4.4480e-03,0.13
-4.4470e-03,0.138
-4.4460e-03,0.14
-4.4450e-03,0.14
-4.4440e-03,0.136
-4.4430e-03,0.14
-4.4420e-03,0.138
-4.4410e-03,0.134
-4.4400e-03,0.138
-4.4390e-03,0.136
-4.4380e-03,0.138
-4.4370e-03,0.144
-4.4360e-03,0.144
-4.4350e-03,0.142
-4.4340e-03,0.142
-4.4330e-03,0.136
-4.4320e-03,0.138
-4.4310e-03,0.138
-4.4300e-03,0.136
-4.4290e-03,0.142
-4.4280e-03,0.144
-4.4270e-03,0.15
-4.4260e-03,0.144
-4.4250e-03,0.144
-4.4240e-03,0.138
-4.4230e-03,0.136
-4.4220e-03,0.134
-4.4210e-03,0.138
-4.4200e-03,0.138
-4.4190e-03,0.138
-4.4180e-03,0.142
-4.4170e-03,0.144
-4.4160e-03,0.14
-4.4150e-03,0.14
-4.4140e-03,0.138
-4.4130e-03,0.136
-4.4120e-03,0.138
-4.4110e-03,0.134
-4.4100e-03,0.138
-4.4090e-03,0.134
-4.4080e-03,0.14
-4.4070e-03,0.138
-4.4060e-03,0.138
-4.4050e-03,0.134
-4.4040e-03,0.132
-4.4030e-03,0.132
-4.4020e-03,0.134
-4.4010e-03,0.138
-4.4000e-03,0.14
-4.3990e-03,0.142
-4.3980e-03,0.138
-4.3970e-03,0.134
-4.3960e-03,0.134
-4.3950e-03,0.136
-4.3940e-03,0.132
-4.3930e-03,0.14
-4.3920e-03,0.134
-4.3910e-03,0.142
-4.3900e-03,0.14
-4.3890e-03,0.142
-4.3880e-03,0.136
-4.3870e-03,0.134
-4.3860e-03,0.138
-4.3850e-03,0.132
-4.3840e-03,0.134
-4.3830e-03,0.134
-4.3820e-03,0.132
-4.3810e-03,0.136
-4.3800e-03,0.134
-4.3790e-03,0.128
-4.3780e-03,0.132
-4.3770e-03,0.128
-4.3760e-03,0.126
-4.3750e-03,0.132
-4.3740e-03,0.134
-4.3730e-03,0.13
-4.3720e-03,0.136
-4.3710e-03,0.134
-4.3700e-03,0.132
-4.3690e-03,0.132
-4.3680e-03,0.128
-4.3670e-03,0.126
-4.3660e-03,0.128
-4.3650e-03,0.132
-4.3640e-03,0.136
-4.3630e-03,0.136
-4.3620e-03,0.138
-4.3610e-03,0.14
-4.3600e-03,0.132
-4.3590e-03,0.134
-4.3580e-03,0.134
-4.3570e-03,0.132
-4.3560e-03,0.132
-4.3550e-03,0.136
-4.3540e-03,0.136
-4.3530e-03,0.132
-4.3520e-03,0.13
-4.3510e-03,0.126
-4.3500e-03,0.126
-4.3490e-03,0.126
-4.3480e-03,0.126
-4.3470e-03,0.128
-4.3460e-03,0.13
-4.3450e-03,0.13
-4.3440e-03,0.128
-4.3430e-03,0.126
-4.3420e-03,0.122
-4.3410e-03,0.12
-4.3400e-03,0.12
-4.3390e-03,0.124
-4.3380e-03,0.126
-4.3370e-03,0.126
-4.3360e-03,0.126
-4.3350e-03,0.124
-4.3340e-03,0.124
-4.3330e-03,0.124
-4.3320e-03,0.12
-4.3310e-03,0.122
-4.3300e-03,0.124
-4.3290e-03,0.124
-4.3280e-03,0.126
-4.3270e-03,0.126
-4.3260e-03,0.126
-4.3250e-03,0.124
-4.3240e-03,0.122
