<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,1500000000,Hz
Span,3000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,20000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0123,1839195980,-66.40,0,0.00,0,0.00
0124,1854271357,-87.02,0,0.00,0,0.00
0125,1869346734,-65.64,0,0.00,0,0.00
0126,1884422111,-87.40,0,0.00,0,0.00
0127,1899497487,-65.38,0,0.00,0,0.00
0128,1914572864,-85.77,0,0.00,0,0.00
0129,1929648241,-60.88,0,0.00,0,0.00
0130,1944723618,-86.18,0,0.00,0,0.00
0131,1959798995,-58.20,0,0.00,0,0.00
0132,1974874372,-86.84,0,0.00,0,0.00
0133,1989949749,-64.74,0,0.00,0,0.00
0134,2005025126,-86.40,0,0.00,0,0.00
0135,2020100503,-65.69,0,0.00,0,0.00
0136,2035175879,-87.52,0,0.00,0,0.00
0137,2050251256,-65.04,0,0.00,0,0.00
0138,2065326633,-87.16,0,0.00,0,0.00
0139,2080402010,-64.36,0,0.00,0,0.00
0140,2095477387,-88.00,0,0.00,0,0.00
0141,2110552764,-64.05,0,0.00,0,0.00
0142,2125628141,-87.97,0,0.00,0,0.00
0143,2140703518,-63.44,0,0.00,0,0.00
0144,2155778894,-87.29,0,0.00,0,0.00
0145,2170854271,-63.72,0,0.00,0,0.00
0146,2185929648,-87.70,0,0.00,0,0.00
0147,2201005025,-64.16,0,0.00,0,0.00
0148,2216080402,-85.31,0,0.00,0,0.00
0149,2231155779,-63.85,0,0.00,0,0.00
0150,2246231156,-89.01,0,0.00,0,0.00
0151,2261306533,-64.28,0,0.00,0,0.00
0152,2276381910,-87.84,0,0.00,0,0.00
0153,2291457286,-64.66,0,0.00,0,0.00
0154,2306532663,-87.98,0,0.00,0,0.00
0155,2321608040,-65.50,0,0.00,0,0.00
0156,2336683417,-86.01,0,0.00,0,0.00
0157,2351758794,-65.36,0,0.00,0,0.00
0158,2366834171,-89.45,0,0.00,0,0.00
0159,2381909548,-64.60,0,0.00,0,0.00
0160,2396984925,-88.04,0,0.00,0,0.00
0161,2412060302,-64.89,0,0.00,0,0.00
0162,2427135678,-88.28,0,0.00,0,0.00
0163,2442211055,-66.02,0,0.00,0,0.00
0164,2457286432,-86.39,0,0.00,0,0.00
0165,2472361809,-65.45,0,0.00,0,0.00
0166,2487437186,-89.24,0,0.00,0,0.00
0167,2502512563,-64.88,0,0.00,0,0.00
0168,2517587940,-87.62,0,0.00,0,0.00
0169,2532663317,-64.54,0,0.00,0,0.00
0170,2547738693,-91.27,0,0.00,0,0.00
0171,2562814070,-65.39,0,0.00,0,0.00
0172,2577889447,-88.32,0,0.00,0,0.00
0173,2592964824,-65.68,0,0.00,0,0.00
0174,2608040201,-86.57,0,0.00,0,0.00
0175,2623115578,-62.96,0,0.00,0,0.00
0176,2638190955,-87.55,0,0.00,0,0.00
0177,2653266332,-60.69,0,0.00,0,0.00
0178,2668341709,-84.14,0,0.00,0,0.00
0179,2683417085,-60.81,0,0.00,0,0.00
0180,2698492462,-87.45,0,0.00,0,0.00
0181,2713567839,-64.01,0,0.00,0,0.00
0182,2728643216,-88.07,0,0.00,0,0.00
0183,2743718593,-64.57,0,0.00,0,0.00
0184,2758793970,-86.49,0,0.00,0,0.00
0185,2773869347,-64.71,0,0.00,0,0.00
0186,2788944724,-84.95,0,0.00,0,0.00
0187,2804020101,-65.08,0,0.00,0,0.00
0188,2819095477,-89.89,0,0.00,0,0.00
0189,2834170854,-65.78,0,0.00,0,0.00
0190,2849246231,-87.08,0,0.00,0,0.00
0191,2864321608,-64.92,0,0.00,0,0.00
0192,2879396985,-89.92,0,0.00,0,0.00
0193,2894472362,-64.55,0,0.00,0,0.00
0194,2909547739,-86.62,0,0.00,0,0.00
0195,2924623116,-65.33,0,0.00,0,0.00
0196,2939698492,-88.88,0,0.00,0,0.00
0197,2954773869,-64.20,0,0.00,0,0.00
0198,2969849246,-88.53,0,0.00,0,0.00
0199,2984924623,-64.07,0,0.00,0,0.00
0200,3000000000,-87.10,0,0.00,0,0.00
