<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,488973256,Hz
Span,19245283,Hz
RBW,200000,Hz
VBW,200000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0126,481761096,-96.47,0,0.00,0,0.00
0127,481780380,-87.38,0,0.00,0,0.00
0128,481799664,-94.54,0,0.00,0,0.00
0129,481818948,-101.69,0,0.00,0,0.00
0130,481838232,-85.47,0,0.00,0,0.00
0131,481857515,-93.77,0,0.00,0,0.00
0132,481876799,-89.34,0,0.00,0,0.00
0133,481896083,-84.92,0,0.00,0,0.00
0134,481915367,-100.25,0,0.00,0,0.00
0135,481934651,-93.55,0,0.00,0,0.00
0136,481953935,-86.85,0,0.00,0,0.00
0137,481973219,-92.56,0,0.00,0,0.00
0138,481992502,-83.54,0,0.00,0,0.00
0139,482011786,-86.52,0,0.00,0,0.00
0140,482031070,-89.50,0,0.00,0,0.00
0141,482050354,-85.03,0,0.00,0,0.00
0142,482069638,-90.42,0,0.00,0,0.00
0143,482088922,-84.00,0,0.00,0,0.00
0144,482108205,-77.58,0,0.00,0,0.00
0145,482127489,-91.31,0,0.00,0,0.00
0146,482146773,-82.55,0,0.00,0,0.00
0147,482166057,-88.41,0,0.00,0,0.00
0148,482185341,-94.26,0,0.00,0,0.00
0149,482204625,-76.28,0,0.00,0,0.00
0150,482223909,-81.23,0,0.00,0,0.00
0151,482243192,-80.35,0,0.00,0,0.00
0152,482262476,-79.48,0,0.00,0,0.00
0153,482281760,-92.25,0,0.00,0,0.00
0154,482301044,-72.99,0,0.00,0,0.00
0155,482320328,-80.70,0,0.00,0,0.00
0156,482339612,-88.41,0,0.00,0,0.00
0157,482358896,-76.16,0,0.00,0,0.00
0158,482378179,-88.88,0,0.00,0,0.00
0159,482397463,-82.80,0,0.00,0,0.00
0160,482416747,-76.72,0,0.00,0,0.00
0161,482436031,-89.19,0,0.00,0,0.00
0162,482455315,-75.23,0,0.00,0,0.00
0163,482474599,-80.96,0,0.00,0,0.00
0164,482493882,-86.69,0,0.00,0,0.00
0165,482513166,-78.39,0,0.00,0,0.00
0166,482532450,-89.17,0,0.00,0,0.00
0167,482551734,-83.08,0,0.00,0,0.00
0168,482571018,-77.00,0,0.00,0,0.00
0169,482590302,-88.10,0,0.00,0,0.00
0170,482609586,-78.16,0,0.00,0,0.00
0171,482628869,-83.06,0,0.00,0,0.00
0172,482648153,-87.96,0,0.00,0,0.00
0173,482667437,-79.67,0,0.00,0,0.00
0174,482686721,-87.21,0,0.00,0,0.00
0175,482706005,-94.76,0,0.00,0,0.00
