<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,500000000,Hz
Span,1000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0126,227272727,-90.90,0,0.00,0,0.00
0127,229090909,-70.50,0,0.00,0,0.00
0128,230909091,-89.41,0,0.00,0,0.00
0129,232727273,-70.19,0,0.00,0,0.00
0130,234545455,-90.31,0,0.00,0,0.00
0131,236363636,-69.99,0,0.00,0,0.00
0132,238181818,-89.96,0,0.00,0,0.00
0133,240000000,-69.57,0,0.00,0,0.00
0134,241818182,-89.82,0,0.00,0,0.00
0135,243636364,-70.31,0,0.00,0,0.00
0136,245454545,-88.46,0,0.00,0,0.00
0137,247272727,-70.93,0,0.00,0,0.00
0138,249090909,-90.15,0,0.00,0,0.00
0139,250909091,-69.63,0,0.00,0,0.00
0140,252727273,-86.27,0,0.00,0,0.00
0141,254545455,-69.78,0,0.00,0,0.00
0142,256363636,-88.31,0,0.00,0,0.00
0143,258181818,-71.62,0,0.00,0,0.00
0144,260000000,-91.29,0,0.00,0,0.00
0145,261818182,-70.48,0,0.00,0,0.00
0146,263636364,-87.73,0,0.00,0,0.00
0147,265454545,-69.96,0,0.00,0,0.00
0148,267272727,-88.15,0,0.00,0,0.00
0149,269090909,-70.19,0,0.00,0,0.00
0150,270909091,-89.83,0,0.00,0,0.00
0151,272727273,-69.99,0,0.00,0,0.00
0152,274545455,-90.77,0,0.00,0,0.00
0153,276363636,-69.74,0,0.00,0,0.00
0154,278181818,-91.52,0,0.00,0,0.00
0155,280000000,-70.72,0,0.00,0,0.00
0156,281818182,-89.08,0,0.00,0,0.00
0157,283636364,-70.15,0,0.00,0,0.00
0158,285454545,-89.36,0,0.00,0,0.00
0159,287272727,-70.00,0,0.00,0,0.00
0160,289090909,-90.52,0,0.00,0,0.00
0161,290909091,-70.11,0,0.00,0,0.00
0162,292727273,-89.09,0,0.00,0,0.00
0163,294545455,-69.52,0,0.00,0,0.00
0164,296363636,-91.16,0,0.00,0,0.00
0165,298181818,-69.91,0,0.00,0,0.00
0166,300000000,-91.64,0,0.00,0,0.00
0167,301818182,-71.18,0,0.00,0,0.00
0168,303636364,-87.44,0,0.00,0,0.00
0169,305454545,-69.87,0,0.00,0,0.00
0170,307272727,-91.28,0,0.00,0,0.00
0171,309090909,-71.60,0,0.00,0,0.00
0172,310909091,-89.31,0,0.00,0,0.00
0173,312727273,-70.36,0,0.00,0,0.00
0174,314545455,-93.76,0,0.00,0,0.00
